company,flight_number,boarding,duration,landing,cost,offer,boarding_airport,landing_airport,stop,from_city,to_city
GoAir,G8 219305,05:30,6h 15m,11:45,₹13500,Extra ₹410 off,CCU,GOI,1 Stop,Kolkata,Goa
GoAir,G8 219306,13:00,6h 20m,19:20,₹13800,Extra ₹310 off,GOI,CCU,1 Stop,Goa,Kolkata
GoAir,G8 235781,06:30,9h 15m,15:45,₹9200,Extra ₹510 off,MAA,CCU,1 Stop,Chennai,Kolkata
GoAir,G8 235782,17:00,9h 10m,02:10,₹9500,Extra ₹410 off,CCU,MAA,1 Stop,Kolkata,Chennai
GoAir,G8 310612,14:45,2h 45m,17:30,₹9800,Extra ₹410 off,MAA,CCU,Non-Stop,Chennai,Kolkata
GoAir,G8 310613,19:45,2h 50m,22:35,₹10100,Extra ₹310 off,CCU,MAA,Non-Stop,Kolkata,Chennai
GoAir,G8 617642,01:25,5h 00m,06:20,₹6500,Extra ₹310 off,JAI,AMD,Non-Stop,Jaipur,Ahmedabad
GoAir,G8 617643,08:30,5h 05m,13:35,₹6800,Extra ₹410 off,AMD,JAI,Non-Stop,Ahmedabad,Jaipur
GoAir,G8 841257,13:00,12h 15m,01:15,₹10500,Extra ₹310 off,HYD,MAA,Non-Stop,Hyderabad,Chennai
GoAir,G8 841258,03:30,12h 10m,15:40,₹10800,Extra ₹410 off,MAA,HYD,Non-Stop,Chennai,Hyderabad
AirAsia,I5 175139,20:30,9h 45m,06:10,₹6800,Extra ₹510 off,JAI,AMD,1 Stop,Jaipur,Ahmedabad
AirAsia,I5 175140,08:15,9h 50m,18:05,₹7100,Extra ₹410 off,AMD,JAI,1 Stop,Ahmedabad,Jaipur
AirAsia,I5 205416,17:25,6h 45m,00:10,₹12200,Extra ₹310 off,BLR,HYD,1 Stop,Bengaluru,Hyderabad
AirAsia,I5 205417,02:30,6h 50m,09:20,₹12500,Extra ₹410 off,HYD,BLR,1 Stop,Hyderabad,Bengaluru
AirAsia,I5 357924,05:00,11h 45m,16:45,₹9800,Extra ₹410 off,HYD,MAA,Non-Stop,Hyderabad,Chennai
AirAsia,I5 357925,18:00,11h 40m,05:40,₹10100,Extra ₹310 off,MAA,HYD,Non-Stop,Chennai,Hyderabad
AirAsia,I5 451218,11:45,11h 00m,22:45,₹10500,Extra ₹410 off,DEL,BOM,Non-Stop,Delhi,Mumbai
AirAsia,I5 451219,00:15,11h 05m,11:20,₹10800,Extra ₹310 off,BOM,DEL,Non-Stop,Mumbai,Delhi
AirAsia,I5 918632,15:30,2h 00m,17:30,₹13200,Extra ₹310 off,DEL,BOM,Non-Stop,Delhi,Mumbai
AirAsia,I5 918633,19:45,2h 05m,21:50,₹13500,Extra ₹410 off,BOM,DEL,Non-Stop,Mumbai,Delhi
SpiceJet,SG 36917,16:25,3h 30m,19:50,₹14200,Extra ₹410 off,BOM,BLR,Non-Stop,Mumbai,Bengaluru
SpiceJet,SG 36918,21:30,3h 35m,01:05,₹14500,Extra ₹310 off,BLR,BOM,Non-Stop,Bengaluru,Mumbai
SpiceJet,SG 650349,04:30,1h 30m,05:25,₹7500,Extra ₹310 off,GOI,JAI,Non-Stop,Goa,Jaipur
SpiceJet,SG 650350,07:45,1h 35m,09:20,₹7800,Extra ₹410 off,JAI,GOI,Non-Stop,Jaipur,Goa
SpiceJet,SG 712365,10:45,10h 30m,21:15,₹10800,Extra ₹310 off,BLR,HYD,1 Stop,Bengaluru,Hyderabad
SpiceJet,SG 712366,23:30,10h 25m,09:55,₹11100,Extra ₹410 off,HYD,BLR,1 Stop,Hyderabad,Bengaluru
SpiceJet,SG 912387,14:15,2h 15m,16:30,₹11800,Extra ₹310 off,JAI,AMD,1 Stop,Jaipur,Ahmedabad
SpiceJet,SG 912388,18:45,2h 20m,21:05,₹12100,Extra ₹410 off,AMD,JAI,1 Stop,Ahmedabad,Jaipur
SpiceJet,SG 922731,12:35,11h 00m,23:35,₹9900,Extra ₹410 off,BLR,HYD,1 Stop,Bengaluru,Hyderabad
SpiceJet,SG 922732,01:45,10h 55m,12:40,₹10200,Extra ₹310 off,HYD,BLR,1 Stop,Hyderabad,Bengaluru
Vistara,UK 321184,08:00,7h 45m,15:40,₹5800,Extra ₹410 off,MAA,CCU,1 Stop,Chennai,Kolkata
Vistara,UK 321185,17:15,7h 50m,01:05,₹6100,Extra ₹310 off,CCU,MAA,1 Stop,Kolkata,Chennai
Vistara,UK 475123,06:30,2h 30m,09:20,₹10200,Extra ₹410 off,AMD,PNQ,1 Stop,Ahmedabad,Pune
Vistara,UK 475124,11:45,2h 35m,14:20,₹10500,Extra ₹310 off,PNQ,AMD,1 Stop,Pune,Ahmedabad
Vistara,UK 591731,22:25,6h 30m,04:55,₹16200,Extra ₹410 off,CCU,GOI,1 Stop,Kolkata,Goa
Vistara,UK 591732,07:30,6h 35m,14:05,₹16500,Extra ₹310 off,GOI,CCU,1 Stop,Goa,Kolkata
Vistara,UK 864932,03:45,4h 30m,08:15,₹14500,Extra ₹310 off,CCU,GOI,1 Stop,Kolkata,Goa
Vistara,UK 864933,10:30,4h 35m,15:05,₹14800,Extra ₹410 off,GOI,CCU,1 Stop,Goa,Kolkata
Vistara,UK 984321,09:30,10h 00m,19:30,₹12200,Extra ₹410 off,DEL,BOM,Non-Stop,Delhi,Mumbai
Vistara,UK 984322,21:45,9h 55m,07:40,₹12500,Extra ₹310 off,BOM,DEL,Non-Stop,Mumbai,Delhi
